Estación:       CUMBRE DE MTY I,  NL
Operada por:    SMN EMAS
Longitud:       100°23'23"  Longitud: 25°33'35"  Altitud: 1455

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL    TEMPCOMB     HUMCOMB     HUMSUBS    TEMPSUBS
26/01/2018 17:00         350          32        1.86       10.80        15.1          61       934.8         0.0       259.3        18.4          61           6        12.6
26/01/2018 18:00          32          13        5.78       21.20        16.8          57       933.8         0.0       294.0        21.0          52           6        12.7
26/01/2018 19:00          27          30       10.60       25.60        18.2          54       932.6         0.0       283.5        22.4          46           6        12.9
26/01/2018 20:00          27          20       11.41       25.20        18.1          55       931.8         0.0       185.0        21.0          47           5        13.2
26/01/2018 21:00          28          16       12.36       22.30        18.2          55       931.2         0.0       186.2        20.9          48           6        13.5
26/01/2018 22:00          34          19       12.98       24.50        18.2          59       931.0         0.0       157.3        20.3          50           6        13.7
26/01/2018 23:00          30          31       11.01       21.20        16.9          68       931.1         0.0        41.2        16.9          58           6        14.0
27/01/2018 00:00         359          28        5.10       15.80        15.4          76       931.5         0.0         3.3        14.2          67           6        14.2
27/01/2018 01:00         259         261        3.74       10.40        12.5          84       932.2         0.0         0.0        10.9          74           6        14.3
27/01/2018 02:00         176         249        1.15        7.20        10.2          92       932.6         0.0         0.0         8.5          80           6        14.3
27/01/2018 03:00         224         232        1.72        4.70         8.5          96       932.8         0.0         0.0         7.1          84           6        14.1
27/01/2018 04:00         162         268        1.31        5.00         7.4          99       932.9         0.0         0.0         5.9          87           6        14.0
27/01/2018 05:00         159         253        2.06        5.80         6.6         100       933.0         0.0         0.0         5.2          90           6        13.8
27/01/2018 06:00         174         107        1.79        6.10         6.1         100       932.9         0.0         0.0         4.6          91           6        13.5
27/01/2018 07:00         161         132        2.00        5.40         5.4         100       932.6         0.0         0.0         3.8          92           6        13.3
27/01/2018 08:00         165         107        1.72        6.50         4.5         100       932.3         0.0         0.0         3.1          92           6        13.0
27/01/2018 09:00         136         125        2.50        5.80         4.0         100       932.3         0.0         0.0         2.5          93           6        12.7
27/01/2018 10:00         194         254        3.05        8.30         3.9         100       932.4         0.0         0.0         2.4          94           6        12.5
27/01/2018 11:00         167         143        1.95        9.40         4.0         100       932.6         0.0         0.0         2.5          94           6        12.2
27/01/2018 12:00         159         117        2.06        6.10         3.1         100       933.3         0.0         0.0         1.8          95           6        12.0
27/01/2018 13:00         203         219        1.90        5.00         3.9         100       933.9         0.0         3.5         3.0          96           6        11.7
27/01/2018 14:00         148         120        2.77        7.20         5.7         100       934.6         0.0        63.8         6.1          96           6        11.5
27/01/2018 15:00         179         141        1.79        5.00         9.2         100       935.2         0.0       226.8        10.2          96           6        11.3
27/01/2018 16:00          83          40        2.79        9.40        16.0          74       935.3         0.0       491.3        16.5          87           6        11.3
27/01/2018 17:00          25           8       12.04       31.30        20.6          55       934.7         0.0       652.3        21.2          71           6        11.5
27/01/2018 18:00          25           6       15.96       34.90        21.4          52       933.9         0.0       726.0        28.1          49           6        11.8
27/01/2018 19:00          25          27       17.03       38.50        22.0          51       932.8         0.0       724.5        31.5          34           6        12.2
27/01/2018 20:00          24          16       15.09       40.30        22.5          50       931.9         0.0       642.7        31.8          30           6        12.8
27/01/2018 21:00           8          27       11.79       40.70        22.2          51       931.4         0.0       448.3        29.5          32           6        13.5
27/01/2018 22:00          32          24        5.00       24.10        20.4          60       931.8         0.0       143.0        22.8          42           6        14.1
